#With sigmoid to all the data:
modelName & acc& ROC_AUC & PR_AUC & F1_score & time_used
DecisionTree & 0.956 & 0.602 & 0.060 & 0.590 & 0.727 
SGD & 0.680 & 0.526 & 0.025 & 0.430 & 0.062 
Nearest_Neighbors & 0.629 & 0.582 & 0.029 & 0.417 & 0.374 
AdaBoost & 0.975 & 0.556 & 0.074 & 0.585 & 13.628 
GradientBoosting & 0.974 & 0.520 & 0.035 & 0.530 & 6.960 
HistGradientBoosting & 0.978 & 0.572 & 0.134 & 0.617 & 916.911 
MLP & 0.976 & 0.500 & 0.024 & 0.494 & 631.777 

#With-out sigmoid to all the data& pca-dim= 16
modelName & acc & ROC_AUC & PR_AUC & F1_score & time_used
BernoulliNB & 0.976 & 0.500 & 0.024 & 0.494 & 1.248 
GaussianNB & 0.066 & 0.517 & 0.025 & 0.066 & 0.586 
SVM & 0.976 & 0.500 & 0.024 & 0.494 & 2.367 
DecisionTree & 0.951 & 0.533 & 0.029 & 0.529 & 0.239 
SGD & 0.068 & 0.492 & 0.024 & 0.067 & 0.036 
Nearest_Neighbors & 0.629 & 0.582 & 0.029 & 0.417 & 0.225 
AdaBoost & 0.975 & 0.500 & 0.024 & 0.494 & 7.835 
GradientBoosting & 0.974 & 0.499 & 0.024 & 0.494 & 2.424 
HistGradientBoosting & 0.975 & 0.505 & 0.026 & 0.503 & 1007.256 
MLP & 0.976 & 0.500 & 0.024 & 0.494 & 374.112 

#With sigmoid to all the data& SelectKBest k=32
modelName & acc & ROC_AUC & PR_AUC & F1_score & time_used
BernoulliNB & 0.976 & 0.500 & 0.024 & 0.494 & 0.047 
GaussianNB & 0.841 & 0.705 & 0.057 & 0.529 & 0.128 
SVM & 0.976 & 0.500 & 0.024 & 0.494 & 2.646 
DecisionTree & 0.958 & 0.567 & 0.043 & 0.565 & 0.452 
SGD & 0.976 & 0.500 & 0.024 & 0.494 & 0.042 
Nearest_Neighbors & 0.723 & 0.675 & 0.042 & 0.467 & 0.283 
AdaBoost & 0.973 & 0.514 & 0.029 & 0.520 & 9.930 
GradientBoosting & 0.975 & 0.530 & 0.048 & 0.548 & 4.295 
HistGradientBoosting & 0.975 & 0.550 & 0.065 & 0.577 & 513.467 
MLP & 0.970 & 0.548 & 0.046 & 0.564 & 3807.172 

#With sigmoid to all the data& SelectKBest k=48
modelName & acc & ROC_AUC & PR_AUC & F1_score & time_used
BernoulliNB & 0.976 & 0.500 & 0.024 & 0.494 & 0.109 
GaussianNB & 0.863 & 0.660 & 0.049 & 0.531 & 1.777 
SVM & 0.976 & 0.500 & 0.024 & 0.494 & 4.084 
DecisionTree & 0.958 & 0.608 & 0.066 & 0.598 & 0.738 
SGD & 0.976 & 0.500 & 0.024 & 0.494 & 0.069 
Nearest_Neighbors & 0.723 & 0.675 & 0.042 & 0.467 & 0.845 
AdaBoost & 0.974 & 0.514 & 0.030 & 0.520 & 12.592 
GradientBoosting & 0.976 & 0.546 & 0.071 & 0.574 & 6.382 
HistGradientBoosting & 0.977 & 0.587 & 0.117 & 0.628 & 235.494 
MLP & 0.975 & 0.586 & 0.099 & 0.620 & 13477.004 

#With sigmoid to all the data& SelectKBest k=48& and set all nan to 0
modelName & acc & ROC_AUC & PR_AUC & F1_score & time_used
BernoulliNB & 0.976 & 0.500 & 0.024 & 0.494 & 0.111 
GaussianNB & 0.863 & 0.660 & 0.049 & 0.531 & 1.722 
SVM & 0.976 & 0.500 & 0.024 & 0.494 & 4.328 
DecisionTree & 0.957 & 0.582 & 0.049 & 0.575 & 0.741 
SGD & 0.976 & 0.500 & 0.024 & 0.494 & 0.073 
Nearest_Neighbors & 0.723 & 0.675 & 0.042 & 0.467 & 1.054 
AdaBoost & 0.974 & 0.514 & 0.030 & 0.520 & 12.690 
GradientBoosting & 0.976 & 0.546 & 0.071 & 0.574 & 6.470 
HistGradientBoosting & 0.977 & 0.566 & 0.097 & 0.603 & 1365.073 
MLP & 0.975 & 0.586 & 0.099 & 0.620 & 13557.353 



#Raw data& without any process to the original data
modelName & acc & ROC_AUC & PR_AUC & F1_score & time_used
BernoulliNB & 0.807 & 0.662 & 0.044 & 0.502 & 0.166 
GaussianNB & 0.082 & 0.525 & 0.025 & 0.081 & 1.010 
SVM & 0.976 & 0.500 & 0.024 & 0.494 & 5.100 
DecisionTree & 0.965 & 0.657 & 0.114 & 0.647 & 1.107 
SGD & 0.876 & 0.642 & 0.046 & 0.533 & 0.066 
Nearest_Neighbors & 0.630 & 0.582 & 0.030 & 0.417 & 1.519 
AdaBoost & 0.977 & 0.577 & 0.114 & 0.618 & 15.954 
GradientBoosting & 0.979 & 0.578 & 0.150 & 0.626 & 9.027 
HistGradientBoosting & 0.982 & 0.640 & 0.262 & 0.708 & 329.543 
MLP & 0.974 & 0.504 & 0.025 & 0.503 & 688.522 


modelName , acc , ROC_AUC , PR_AUC , F1_score , time_used
BernoulliNB , 0.976 , 0.500 , 0.024 , 0.494 , 0.011 
GaussianNB , 0.863 , 0.660 , 0.049 , 0.531 , 0.012 
SVM , 0.976 , 0.500 , 0.024 , 0.494 , 1.470 
DecisionTree , 0.957 , 0.571 , 0.044 , 0.567 , 0.750 
SGD , 0.976 , 0.500 , 0.024 , 0.494 , 0.042 
Nearest_Neighbors , 0.723 , 0.675 , 0.042 , 0.467 , 0.007 
AdaBoost , 0.974 , 0.514 , 0.030 , 0.520 , 7.771 
GradientBoosting , 0.976 , 0.546 , 0.071 , 0.574 , 6.518 
HistGradientBoosting , 0.978 , 0.567 , 0.113 , 0.607 , 9.174 
MLP , 0.975 , 0.586 , 0.099 , 0.620 , 113.919 
